Episodio,RecompensaxTotalxEpisodio,RecompensaPromedio100Epidosios
1,27.0,0.00
2,12.0,0.00
3,12.0,0.00
4,11.0,0.00
5,10.0,0.00
6,36.0,0.00
7,15.0,0.00
8,42.0,0.00
9,19.0,0.00
10,20.0,0.00
11,30.0,0.00
12,23.0,0.00
13,15.0,0.00
14,12.0,0.00
15,58.0,0.00
16,11.0,0.00
17,15.0,0.00
18,15.0,0.00
19,26.0,0.00
20,11.0,0.00
21,15.0,0.00
22,10.0,0.00
23,9.0,0.00
24,30.0,0.00
25,23.0,0.00
26,20.0,0.00
27,23.0,0.00
28,11.0,0.00
29,36.0,0.00
30,22.0,0.00
31,37.0,0.00
32,11.0,0.00
33,10.0,0.00
34,24.0,0.00
35,31.0,0.00
36,12.0,0.00
37,19.0,0.00
38,27.0,0.00
39,14.0,0.00
40,30.0,0.00
41,16.0,0.00
42,21.0,0.00
43,18.0,0.00
44,24.0,0.00
45,26.0,0.00
46,25.0,0.00
47,13.0,0.00
48,27.0,0.00
49,19.0,0.00
50,16.0,0.00
51,20.0,0.00
52,52.0,0.00
53,24.0,0.00
54,10.0,0.00
55,19.0,0.00
56,31.0,0.00
57,19.0,0.00
58,15.0,0.00
59,15.0,0.00
60,23.0,0.00
61,36.0,0.00
62,42.0,0.00
63,22.0,0.00
64,28.0,0.00
65,27.0,0.00
66,10.0,0.00
67,22.0,0.00
68,11.0,0.00
69,17.0,0.00
70,35.0,0.00
71,15.0,0.00
72,13.0,0.00
73,17.0,0.00
74,28.0,0.00
75,12.0,0.00
76,14.0,0.00
77,13.0,0.00
78,27.0,0.00
79,38.0,0.00
80,22.0,0.00
81,37.0,0.00
82,11.0,0.00
83,12.0,0.00
84,18.0,0.00
85,17.0,0.00
86,13.0,0.00
87,13.0,0.00
88,45.0,0.00
89,10.0,0.00
90,69.0,0.00
91,56.0,0.00
92,17.0,0.00
93,34.0,0.00
94,61.0,0.00
95,17.0,0.00
96,14.0,0.00
97,38.0,0.00
98,31.0,0.00
99,15.0,0.00
100,17.0,0.00
101,26.0,22.60
102,35.0,22.83
103,9.0,22.80
104,47.0,23.16
105,27.0,23.33
106,21.0,23.18
107,12.0,23.15
108,31.0,23.04
109,24.0,23.09
110,14.0,23.03
111,25.0,22.98
112,12.0,22.87
113,26.0,22.98
114,29.0,23.15
115,64.0,23.21
116,58.0,23.68
117,40.0,23.93
118,57.0,24.35
119,47.0,24.56
120,28.0,24.73
121,12.0,24.70
122,12.0,24.72
123,29.0,24.92
124,19.0,24.81
125,13.0,24.71
126,62.0,25.13
127,16.0,25.06
128,32.0,25.27
129,63.0,25.54
130,20.0,25.52
131,25.0,25.40
132,30.0,25.59
133,32.0,25.81
134,50.0,26.07
135,48.0,26.24
136,25.0,26.37
137,37.0,26.55
138,34.0,26.62
139,67.0,27.15
140,18.0,27.03
141,23.0,27.10
142,32.0,27.21
143,33.0,27.36
144,24.0,27.36
145,21.0,27.31
146,15.0,27.21
147,17.0,27.25
148,15.0,27.13
149,40.0,27.34
150,19.0,27.37
151,62.0,27.79
152,36.0,27.63
153,16.0,27.55
154,29.0,27.74
155,19.0,27.74
156,65.0,28.08
157,50.0,28.39
158,39.0,28.63
159,13.0,28.61
160,52.0,28.90
161,31.0,28.85
162,17.0,28.60
163,48.0,28.86
164,24.0,28.82
165,43.0,28.98
166,65.0,29.53
167,16.0,29.47
168,25.0,29.61
169,19.0,29.63
170,33.0,29.61
171,24.0,29.70
172,32.0,29.89
173,23.0,29.95
174,23.0,29.90
175,25.0,30.03
176,25.0,30.14
177,30.0,30.31
178,16.0,30.20
179,15.0,29.97
180,44.0,30.19
181,24.0,30.06
182,27.0,30.22
183,17.0,30.27
184,15.0,30.24
185,59.0,30.66
186,17.0,30.70
187,39.0,30.96
188,23.0,30.74
189,52.0,31.16
190,11.0,30.58
191,15.0,30.17
192,42.0,30.42
193,59.0,30.67
194,13.0,30.19
195,22.0,30.24
196,91.0,31.01
197,86.0,31.49
198,23.0,31.41
199,28.0,31.54
200,23.0,31.60
201,18.0,31.52
