Episodio,RecompensaxTotalxEpisodio,RecompensaPromedio100Epidosios
1,33.0,0.00
2,15.0,0.00
3,33.0,0.00
4,30.0,0.00
5,17.0,0.00
6,30.0,0.00
7,23.0,0.00
8,18.0,0.00
9,30.0,0.00
10,38.0,0.00
11,23.0,0.00
12,22.0,0.00
13,29.0,0.00
14,21.0,0.00
15,20.0,0.00
16,13.0,0.00
17,10.0,0.00
18,14.0,0.00
19,28.0,0.00
20,15.0,0.00
21,11.0,0.00
22,17.0,0.00
23,40.0,0.00
24,27.0,0.00
25,17.0,0.00
26,22.0,0.00
27,22.0,0.00
28,28.0,0.00
29,17.0,0.00
30,11.0,0.00
31,10.0,0.00
32,21.0,0.00
33,11.0,0.00
34,22.0,0.00
35,10.0,0.00
36,15.0,0.00
37,18.0,0.00
38,30.0,0.00
39,27.0,0.00
40,13.0,0.00
41,32.0,0.00
42,17.0,0.00
43,43.0,0.00
44,27.0,0.00
45,22.0,0.00
46,21.0,0.00
47,12.0,0.00
48,42.0,0.00
49,15.0,0.00
50,49.0,0.00
51,11.0,0.00
52,23.0,0.00
53,50.0,0.00
54,13.0,0.00
55,14.0,0.00
56,21.0,0.00
57,17.0,0.00
58,42.0,0.00
59,61.0,0.00
60,37.0,0.00
61,24.0,0.00
62,20.0,0.00
63,17.0,0.00
64,20.0,0.00
65,15.0,0.00
66,107.0,0.00
67,19.0,0.00
68,13.0,0.00
69,15.0,0.00
70,24.0,0.00
71,36.0,0.00
72,21.0,0.00
73,11.0,0.00
74,72.0,0.00
75,14.0,0.00
76,20.0,0.00
77,88.0,0.00
78,14.0,0.00
79,15.0,0.00
80,62.0,0.00
81,28.0,0.00
82,24.0,0.00
83,21.0,0.00
84,28.0,0.00
85,30.0,0.00
86,21.0,0.00
87,51.0,0.00
88,15.0,0.00
89,39.0,0.00
90,65.0,0.00
91,24.0,0.00
92,16.0,0.00
93,31.0,0.00
94,53.0,0.00
95,25.0,0.00
96,24.0,0.00
97,13.0,0.00
98,29.0,0.00
99,17.0,0.00
100,24.0,0.00
101,73.0,26.65
102,11.0,26.61
103,15.0,26.43
104,10.0,26.23
105,16.0,26.22
106,30.0,26.22
107,47.0,26.46
108,18.0,26.46
109,46.0,26.62
110,74.0,26.98
111,26.0,27.01
112,114.0,27.93
113,30.0,27.94
114,17.0,27.90
115,20.0,27.90
116,34.0,28.11
117,22.0,28.23
118,11.0,28.20
119,25.0,28.17
120,89.0,28.91
121,23.0,29.03
122,82.0,29.68
123,38.0,29.66
124,88.0,30.27
125,49.0,30.59
126,108.0,31.45
127,46.0,31.69
128,21.0,31.62
129,25.0,31.70
130,69.0,32.28
131,26.0,32.44
132,74.0,32.97
133,33.0,33.19
134,34.0,33.31
135,64.0,33.85
136,141.0,35.11
137,36.0,35.29
138,46.0,35.45
139,15.0,35.33
140,66.0,35.86
141,39.0,35.93
142,68.0,36.44
143,83.0,36.84
144,17.0,36.74
145,17.0,36.69
146,11.0,36.59
147,42.0,36.89
148,38.0,36.85
149,101.0,37.71
150,31.0,37.53
151,41.0,37.83
152,39.0,37.99
153,148.0,38.97
154,116.0,40.00
155,94.0,40.80
156,38.0,40.97
157,19.0,40.99
158,24.0,40.81
159,11.0,40.31
160,52.0,40.46
161,48.0,40.70
162,60.0,41.10
163,107.0,42.00
164,68.0,42.48
165,98.0,43.31
166,84.0,43.08
167,40.0,43.29
168,63.0,43.79
169,65.0,44.29
170,21.0,44.26
171,50.0,44.40
172,35.0,44.54
173,93.0,45.36
174,31.0,44.95
175,12.0,44.93
176,47.0,45.20
177,88.0,45.20
178,94.0,46.00
179,22.0,46.07
180,65.0,46.10
181,24.0,46.06
182,58.0,46.40
183,13.0,46.32
184,24.0,46.28
185,14.0,46.12
186,34.0,46.25
187,69.0,46.43
188,19.0,46.47
189,27.0,46.35
190,17.0,45.87
191,14.0,45.77
192,13.0,45.74
193,36.0,45.79
194,31.0,45.57
195,41.0,45.73
196,28.0,45.77
197,18.0,45.82
198,25.0,45.78
199,18.0,45.79
200,38.0,45.93
201,20.0,45.40
202,34.0,45.63
203,20.0,45.68
204,24.0,45.82
205,149.0,47.15
206,19.0,47.04
207,15.0,46.72
208,18.0,46.72
209,38.0,46.64
210,22.0,46.12
211,24.0,46.10
212,23.0,45.19
213,20.0,45.09
214,31.0,45.23
215,45.0,45.48
216,34.0,45.48
217,17.0,45.43
218,25.0,45.57
219,16.0,45.48
220,84.0,45.43
221,40.0,45.60
222,59.0,45.37
223,62.0,45.61
224,114.0,45.87
225,123.0,46.61
226,104.0,46.57
227,105.0,47.16
228,96.0,47.91
229,69.0,48.35
230,131.0,48.97
231,40.0,49.11
232,25.0,48.62
233,57.0,48.86
234,31.0,48.83
235,34.0,48.53
236,30.0,47.42
237,47.0,47.53
238,51.0,47.58
239,40.0,47.83
240,20.0,47.37
241,28.0,47.26
242,40.0,46.98
243,16.0,46.31
244,23.0,46.37
245,105.0,47.25
246,18.0,47.32
247,43.0,47.33
248,44.0,47.39
249,31.0,46.69
250,29.0,46.67
251,85.0,47.11
252,13.0,46.85
253,28.0,45.65
254,77.0,45.26
255,25.0,44.57
256,36.0,44.55
257,31.0,44.67
258,25.0,44.68
259,79.0,45.36
260,41.0,45.25
261,31.0,45.08
262,17.0,44.65
263,28.0,43.86
264,52.0,43.70
265,47.0,43.19
266,101.0,43.36
267,19.0,43.15
268,82.0,43.34
269,17.0,42.86
270,100.0,43.65
271,15.0,43.30
272,13.0,43.08
273,15.0,42.30
274,40.0,42.39
275,27.0,42.54
276,93.0,43.00
277,17.0,42.29
278,37.0,41.72
279,155.0,43.05
280,42.0,42.82
281,21.0,42.79
282,73.0,42.94
283,62.0,43.43
284,61.0,43.80
285,16.0,43.82
286,39.0,43.87
287,47.0,43.65
288,47.0,43.93
289,24.0,43.90
290,50.0,44.23
291,19.0,44.28
292,33.0,44.48
293,57.0,44.69
294,51.0,44.89
295,31.0,44.79
296,146.0,45.97
297,35.0,46.14
298,22.0,46.11
299,68.0,46.61
300,19.0,46.42
301,28.0,46.50
302,12.0,46.28
303,127.0,47.35
304,35.0,47.46
305,48.0,46.45
306,80.0,47.06
307,188.0,48.79
308,35.0,48.96
309,82.0,49.40
310,111.0,50.29
311,166.0,51.71
312,31.0,51.79
313,42.0,52.01
314,104.0,52.74
315,43.0,52.72
316,112.0,53.50
317,168.0,55.01
318,124.0,56.00
319,88.0,56.72
320,42.0,56.30
321,57.0,56.47
322,66.0,56.54
323,27.0,56.19
324,55.0,55.60
325,65.0,55.02
326,186.0,55.84
327,140.0,56.19
328,147.0,56.70
329,83.0,56.84
330,21.0,55.74
331,98.0,56.32
