Episodio,RecompensaxTotalxEpisodio,RecompensaPromedio100Epidosios
332,217.0,58.24
333,31.0,57.98
334,38.0,58.05
335,157.0,59.28
336,49.0,59.47
337,33.0,59.33
338,178.0,60.60
339,72.0,60.92
340,175.0,62.47
341,113.0,63.32
342,58.0,63.50
343,94.0,64.28
344,78.0,64.83
345,100.0,64.78
346,181.0,66.41
347,235.0,68.33
348,116.0,69.05
349,84.0,69.58
350,157.0,70.86
351,91.0,70.92
352,125.0,72.04
353,77.0,72.53
354,76.0,72.52
355,84.0,73.11
356,75.0,73.50
357,105.0,74.24
358,95.0,74.94
359,179.0,75.94
360,47.0,76.00
361,114.0,76.83
362,92.0,77.58
363,82.0,78.12
364,43.0,78.03
365,55.0,78.11
366,54.0,77.64
367,65.0,78.10
368,74.0,78.02
369,43.0,78.28
370,11.0,77.39
371,29.0,77.53
372,123.0,78.63
373,27.0,78.75
374,23.0,78.58
375,13.0,78.44
376,98.0,78.49
377,22.0,78.54
378,72.0,78.89
379,64.0,77.98
380,23.0,77.79
381,33.0,77.91
382,30.0,77.48
383,27.0,77.13
384,26.0,76.78
385,59.0,77.21
386,51.0,77.33
387,32.0,77.18
388,48.0,77.19
389,100.0,77.95
390,91.0,78.36
391,91.0,79.08
392,49.0,79.24
393,128.0,79.95
394,162.0,81.06
395,52.0,81.27
396,52.0,80.33
397,73.0,80.71
398,86.0,81.35
399,104.0,81.71
400,55.0,82.07
401,43.0,82.22
402,61.0,82.71
403,77.0,82.21
404,109.0,82.95
405,68.0,83.15
406,147.0,83.82
407,191.0,83.85
408,203.0,85.53
409,127.0,85.98
410,28.0,85.15
411,105.0,84.54
412,21.0,84.44
413,15.0,84.17
414,185.0,84.98
415,137.0,85.92
416,113.0,85.93
417,36.0,84.61
418,41.0,83.78
419,82.0,83.72
420,33.0,83.63
421,26.0,83.32
422,77.0,83.43
423,44.0,83.60
424,74.0,83.79
425,71.0,83.85
426,88.0,82.87
427,309.0,84.56
428,113.0,84.22
429,222.0,85.61
430,102.0,86.42
431,137.0,86.81
432,108.0,85.72
433,42.0,85.83
434,93.0,86.38
435,236.0,87.17
436,209.0,88.77
437,171.0,90.15
438,132.0,89.69
439,75.0,89.72
440,99.0,88.96
441,124.0,89.07
442,165.0,90.14
443,248.0,91.68
444,85.0,91.75
445,192.0,92.67
446,326.0,94.12
447,111.0,92.88
448,79.0,92.51
449,250.0,94.17
450,66.0,93.26
451,44.0,92.79
452,182.0,93.36
453,92.0,93.51
454,155.0,94.30
455,158.0,95.04
456,109.0,95.38
457,46.0,94.79
458,28.0,94.12
459,28.0,92.61
460,21.0,92.35
461,63.0,91.84
462,236.0,93.28
463,91.0,93.37
464,87.0,93.81
465,164.0,94.90
466,66.0,95.02
467,66.0,95.03
468,40.0,94.69
469,80.0,95.06
470,86.0,95.81
471,59.0,96.11
472,128.0,96.16
473,134.0,97.23
474,85.0,97.85
475,103.0,98.75
476,91.0,98.68
477,43.0,98.89
478,52.0,98.69
479,11.0,98.16
480,170.0,99.63
481,102.0,100.32
482,131.0,101.33
483,57.0,101.63
484,34.0,101.71
485,122.0,102.34
486,35.0,102.18
487,163.0,103.49
488,36.0,103.37
489,89.0,103.26
490,59.0,102.94
491,32.0,102.35
492,58.0,102.44
493,96.0,102.12
494,91.0,101.41
495,43.0,101.32
496,48.0,101.28
497,53.0,101.08
498,49.0,100.71
499,144.0,101.11
500,112.0,101.68
501,109.0,102.34
502,142.0,103.15
503,62.0,103.00
504,56.0,102.47
505,110.0,102.89
506,37.0,101.79
507,59.0,100.47
508,177.0,100.21
509,193.0,100.87
510,168.0,102.27
511,105.0,102.27
512,88.0,102.94
513,151.0,104.30
514,175.0,104.20
515,87.0,103.70
516,279.0,105.36
517,125.0,106.25
518,166.0,107.50
519,195.0,108.63
520,121.0,109.51
521,57.0,109.82
522,114.0,110.19
523,59.0,110.34
524,40.0,110.00
525,70.0,109.99
526,153.0,110.64
527,105.0,108.60
528,80.0,108.27
529,67.0,106.72
530,116.0,106.86
531,177.0,107.26
532,38.0,106.56
533,59.0,106.73
534,97.0,106.77
535,58.0,104.99
536,195.0,104.85
537,34.0,103.48
538,44.0,102.60
539,57.0,102.42
540,47.0,101.90
541,98.0,101.64
542,196.0,101.95
543,58.0,100.05
544,198.0,101.18
545,52.0,99.78
546,114.0,97.66
547,65.0,97.20
548,48.0,96.89
549,125.0,95.64
550,209.0,97.07
551,130.0,97.93
552,99.0,97.10
553,148.0,97.66
554,108.0,97.19
555,67.0,96.28
556,164.0,96.83
557,133.0,97.70
558,390.0,101.32
559,154.0,102.58
560,207.0,104.44
561,124.0,105.05
562,149.0,104.18
563,232.0,105.59
564,269.0,107.41
565,211.0,107.88
566,154.0,108.76
567,232.0,110.42
568,77.0,110.79
569,78.0,110.77
570,196.0,111.87
571,143.0,112.71
572,133.0,112.76
573,204.0,113.46
574,104.0,113.65
575,124.0,113.86
576,108.0,114.03
577,58.0,114.18
578,193.0,115.59
579,172.0,117.20
580,105.0,116.55
581,55.0,116.08
582,105.0,115.82
583,47.0,115.72
584,56.0,115.94
585,119.0,115.91
586,85.0,116.41
587,198.0,116.76
588,70.0,117.10
589,144.0,117.65
590,71.0,117.77
591,91.0,118.36
592,67.0,118.45
593,129.0,118.78
594,171.0,119.58
595,71.0,119.86
596,47.0,119.85
597,76.0,120.08
598,39.0,119.98
599,82.0,119.36
600,169.0,119.93
601,54.0,119.38
602,179.0,119.75
603,130.0,120.43
604,214.0,122.01
605,64.0,121.55
606,87.0,122.05
607,53.0,121.99
608,76.0,120.98
609,82.0,119.87
610,53.0,118.72
611,264.0,120.31
612,102.0,120.45
613,48.0,119.42
614,57.0,118.24
615,173.0,119.10
616,145.0,117.76
617,101.0,117.52
618,131.0,117.17
619,121.0,116.43
620,184.0,117.06
621,145.0,117.94
622,129.0,118.09
623,176.0,119.26
624,149.0,120.35
625,153.0,121.18
626,220.0,121.85
627,89.0,121.69
628,57.0,121.46
629,113.0,121.92
630,67.0,121.43
631,82.0,120.48
632,111.0,121.21
633,123.0,121.85
634,75.0,121.63
635,88.0,121.93
636,153.0,121.51
637,58.0,121.75
638,130.0,122.61
639,173.0,123.77
640,115.0,124.45
641,105.0,124.52
642,111.0,123.67
643,90.0,123.99
644,157.0,123.58
645,240.0,125.46
646,191.0,126.23
647,149.0,127.07
648,99.0,127.58
649,119.0,127.52
650,90.0,126.33
651,91.0,125.94
652,81.0,125.76
653,155.0,125.83
654,73.0,125.48
655,93.0,125.74
656,29.0,124.39
657,46.0,123.52
658,89.0,120.51
659,49.0,119.46
660,111.0,118.50
661,166.0,118.92
662,238.0,119.81
663,134.0,118.83
664,179.0,117.93
665,85.0,116.67
666,65.0,115.78
667,108.0,114.54
668,153.0,115.30
669,187.0,116.39
670,140.0,115.83
671,70.0,115.10
672,193.0,115.70
673,181.0,115.47
674,161.0,116.04
675,212.0,116.92
676,186.0,117.70
677,91.0,118.03
678,112.0,117.22
679,178.0,117.28
680,113.0,117.36
681,192.0,118.73
682,231.0,119.99
683,190.0,121.42
684,166.0,122.52
685,500.0,126.33
686,146.0,126.94
687,124.0,126.20
688,205.0,127.55
689,120.0,127.31
690,112.0,127.72
691,103.0,127.84
692,104.0,128.21
693,212.0,129.04
694,111.0,128.44
695,184.0,129.57
696,113.0,130.23
697,82.0,130.29
698,196.0,131.86
699,210.0,133.14
700,57.0,132.02
701,187.0,133.35
702,333.0,134.89
703,94.0,134.53
704,90.0,133.29
705,63.0,133.28
706,57.0,132.98
707,73.0,133.18
708,135.0,133.77
709,73.0,133.68
710,85.0,134.00
711,172.0,133.08
712,132.0,133.38
713,124.0,134.14
714,108.0,134.65
715,230.0,135.22
716,38.0,134.15
717,100.0,134.14
718,155.0,134.38
719,168.0,134.85
720,80.0,133.81
721,253.0,134.89
722,202.0,135.62
723,61.0,134.47
724,137.0,134.35
725,160.0,134.42
726,286.0,135.08
727,219.0,136.38
728,164.0,137.45
729,101.0,137.33
730,87.0,137.53
731,94.0,137.65
732,85.0,137.39
733,223.0,138.39
734,52.0,138.16
735,69.0,137.97
736,42.0,136.86
737,72.0,137.00
738,67.0,136.37
739,314.0,137.78
740,116.0,137.79
741,252.0,139.26
742,302.0,141.17
743,121.0,141.48
744,69.0,140.60
745,94.0,139.14
746,129.0,138.52
747,213.0,139.16
748,115.0,139.32
749,52.0,138.65
750,192.0,139.67
751,80.0,139.56
752,112.0,139.87
753,88.0,139.20
754,207.0,140.54
755,135.0,140.96
756,65.0,141.32
757,79.0,141.65
758,43.0,141.19
759,70.0,141.40
760,64.0,140.93
761,118.0,140.45
762,63.0,138.70
763,56.0,137.92
764,158.0,137.71
765,110.0,137.96
766,145.0,138.76
767,150.0,139.18
768,233.0,139.98
769,115.0,139.26
770,155.0,139.41
771,176.0,140.47
772,92.0,139.46
773,153.0,139.18
774,201.0,139.58
775,215.0,139.61
776,117.0,138.92
777,155.0,139.56
778,163.0,140.07
779,146.0,139.75
780,179.0,140.41
781,154.0,140.03
782,94.0,138.66
783,152.0,138.28
784,131.0,137.93
785,136.0,134.29
786,158.0,134.41
787,156.0,134.73
788,156.0,134.24
789,53.0,133.57
790,31.0,132.76
791,209.0,133.82
792,149.0,134.27
793,140.0,133.55
794,136.0,133.80
795,113.0,133.09
796,141.0,133.37
797,218.0,134.73
798,57.0,133.34
799,67.0,131.91
800,77.0,132.11
801,133.0,131.57
802,104.0,129.28
803,93.0,129.27
804,163.0,130.00
805,207.0,131.44
806,369.0,134.56
807,93.0,134.76
808,49.0,133.90
809,55.0,133.72
810,79.0,133.66
811,97.0,132.91
812,333.0,134.92
813,276.0,136.44
814,225.0,137.61
815,76.0,136.07
816,41.0,136.10
817,45.0,135.55
818,101.0,135.01
819,45.0,133.78
820,500.0,137.98
821,500.0,140.45
822,500.0,143.43
823,406.0,146.88
824,131.0,146.82
825,110.0,146.32
826,148.0,144.94
827,199.0,144.74
828,216.0,145.26
829,500.0,149.25
830,415.0,152.53
831,375.0,155.34
832,242.0,156.91
833,297.0,157.65
834,94.0,158.07
835,217.0,159.55
836,166.0,160.79
837,104.0,161.11
838,83.0,161.27
839,42.0,158.55
840,37.0,157.76
841,192.0,157.16
842,273.0,156.87
843,207.0,157.73
844,51.0,157.55
845,64.0,157.25
846,62.0,156.58
847,90.0,155.35
848,123.0,155.43
849,177.0,156.68
850,85.0,155.61
851,336.0,158.17
852,57.0,157.62
853,49.0,157.23
854,65.0,155.81
855,44.0,154.90
856,134.0,155.59
857,77.0,155.57
858,41.0,155.55
859,67.0,155.52
860,59.0,155.47
861,95.0,155.24
862,38.0,154.99
863,40.0,154.83
864,90.0,154.15
865,112.0,154.17
866,109.0,153.81
867,131.0,153.62
868,61.0,151.90
869,149.0,152.24
870,88.0,151.57
871,66.0,150.47
872,138.0,150.93
873,85.0,150.25
874,138.0,149.62
875,93.0,148.40
876,103.0,148.26
877,105.0,147.76
878,99.0,147.12
879,161.0,147.27
880,97.0,146.45
881,111.0,146.02
882,124.0,146.32
883,158.0,146.38
884,75.0,145.82
885,54.0,145.00
886,55.0,143.97
887,39.0,142.80
888,82.0,142.06
889,140.0,142.93
890,248.0,145.10
891,75.0,143.76
892,78.0,143.05
893,105.0,142.70
894,63.0,141.97
895,46.0,141.30
896,56.0,140.45
897,104.0,139.31
898,50.0,139.24
899,49.0,139.06
900,83.0,139.12
901,99.0,138.78
902,106.0,138.80
903,136.0,139.23
904,79.0,138.39
905,85.0,137.17
906,72.0,134.20
907,75.0,134.02
908,143.0,134.96
909,88.0,135.29
910,102.0,135.52
911,82.0,135.37
912,85.0,132.89
913,51.0,130.64
914,72.0,129.11
915,56.0,128.91
916,173.0,130.23
917,129.0,131.07
918,105.0,131.11
919,106.0,131.72
920,63.0,127.35
921,111.0,123.46
922,53.0,118.99
923,113.0,116.06
924,109.0,115.84
925,134.0,116.08
926,83.0,115.43
927,81.0,114.25
928,128.0,113.37
929,98.0,109.35
930,58.0,105.78
931,51.0,102.54
932,157.0,101.69
933,85.0,99.57
934,143.0,100.06
935,56.0,98.45
936,95.0,97.74
937,96.0,97.66
938,131.0,98.14
939,199.0,99.71
940,106.0,100.40
941,101.0,99.49
942,110.0,97.86
943,186.0,97.65
944,156.0,98.70
945,108.0,99.14
946,404.0,102.56
947,102.0,102.68
948,286.0,104.31
949,271.0,105.25
950,46.0,104.86
951,451.0,106.01
952,225.0,107.69
953,224.0,109.44
954,267.0,111.46
955,209.0,113.11
956,285.0,114.62
957,451.0,118.36
958,260.0,120.55
959,187.0,121.75
960,291.0,124.07
961,161.0,124.73
962,210.0,126.45
963,162.0,127.67
964,111.0,127.88
965,177.0,128.53
966,145.0,128.89
967,165.0,129.23
968,121.0,129.83
969,162.0,129.96
970,219.0,131.27
971,161.0,132.22
972,211.0,132.95
973,257.0,134.67
974,130.0,134.59
975,145.0,135.11
976,243.0,136.51
977,159.0,137.05
978,120.0,137.26
979,203.0,137.68
980,123.0,137.94
981,205.0,138.88
982,167.0,139.31
983,213.0,139.86
984,170.0,140.81
985,241.0,142.68
986,218.0,144.31
987,268.0,146.60
988,123.0,147.01
989,158.0,147.19
990,194.0,146.65
991,175.0,147.65
992,213.0,149.00
993,147.0,149.42
994,232.0,151.11
995,180.0,152.45
996,168.0,153.57
997,243.0,154.96
998,127.0,155.73
999,241.0,157.65
1000,233.0,159.15
1001,139.0,159.55
1002,227.0,160.76
1003,91.0,160.31
1004,175.0,161.27
1005,245.0,162.87
1006,160.0,163.75
1007,305.0,166.05
1008,218.0,166.80
1009,109.0,167.01
1010,137.0,167.36
1011,85.0,167.39
1012,94.0,167.48
1013,81.0,167.78
1014,114.0,168.20
1015,83.0,168.47
1016,111.0,167.85
1017,158.0,168.14
1018,78.0,167.87
1019,128.0,168.09
1020,89.0,168.35
1021,89.0,168.13
1022,177.0,169.37
1023,359.0,171.83
1024,307.0,173.81
1025,397.0,176.44
1026,267.0,178.28
1027,152.0,178.99
1028,271.0,180.42
1029,277.0,182.21
1030,311.0,184.74
1031,339.0,187.62
1032,66.0,186.71
1033,263.0,188.49
1034,281.0,189.87
1035,389.0,193.20
1036,53.0,192.78
1037,60.0,192.42
1038,55.0,191.66
1039,106.0,190.73
1040,67.0,190.34
1041,69.0,190.02
1042,113.0,190.05
1043,296.0,191.15
1044,210.0,191.69
1045,218.0,192.79
1046,299.0,191.74
1047,265.0,193.37
1048,151.0,192.02
1049,136.0,190.67
1050,132.0,191.53
1051,159.0,188.61
1052,120.0,187.56
1053,88.0,186.20
1054,94.0,184.47
1055,178.0,184.16
1056,191.0,183.22
1057,177.0,180.48
1058,232.0,180.20
1059,190.0,180.23
1060,230.0,179.62
1061,58.0,178.59
1062,93.0,177.42
1063,373.0,179.53
1064,366.0,182.08
1065,207.0,182.38
1066,153.0,182.46
1067,145.0,182.26
1068,210.0,183.15
1069,138.0,182.91
1070,193.0,182.65
1071,169.0,182.73
1072,163.0,182.25
1073,210.0,181.78
1074,131.0,181.79
1075,119.0,181.53
1076,106.0,180.16
1077,140.0,179.97
1078,165.0,180.42
1079,184.0,180.23
1080,111.0,180.11
1081,177.0,179.83
1082,153.0,179.69
1083,177.0,179.33
1084,161.0,179.24
1085,232.0,179.15
1086,208.0,179.05
1087,136.0,177.73
1088,155.0,178.05
1089,93.0,177.40
1090,157.0,177.03
1091,78.0,176.06
1092,81.0,174.74
1093,119.0,174.46
1094,139.0,173.53
1095,156.0,173.29
1096,130.0,172.91
1097,123.0,171.71
1098,119.0,171.63
1099,93.0,170.15
1100,113.0,168.95
1101,120.0,168.76
1102,126.0,167.75
1103,41.0,167.25
1104,94.0,166.44
1105,65.0,164.64
1106,113.0,164.17
1107,143.0,162.55
1108,86.0,161.23
1109,175.0,161.89
1110,125.0,161.77
1111,441.0,165.33
1112,288.0,167.27
1113,107.0,167.53
1114,85.0,167.24
1115,95.0,167.36
1116,64.0,166.89
1117,191.0,167.22
1118,58.0,167.02
1119,121.0,166.95
1120,180.0,167.86
1121,69.0,167.66
1122,105.0,166.94
1123,248.0,165.83
1124,80.0,163.56
1125,274.0,162.33
1126,194.0,161.60
1127,175.0,161.83
1128,398.0,163.10
1129,374.0,164.07
1130,193.0,162.89
1131,236.0,161.86
1132,215.0,163.35
1133,298.0,163.70
1134,274.0,163.63
1135,76.0,160.50
1136,332.0,163.29
1137,186.0,164.55
1138,297.0,166.97
1139,402.0,169.93
1140,248.0,171.74
1141,128.0,172.33
1142,181.0,173.01
1143,222.0,172.27
1144,132.0,171.49
1145,500.0,174.31
1146,103.0,172.35
1147,105.0,170.75
1148,84.0,170.08
1149,61.0,169.33
1150,81.0,168.82
1151,437.0,171.60
1152,215.0,172.55
1153,205.0,173.72
1154,372.0,176.50
1155,277.0,177.49
1156,301.0,178.59
1157,361.0,180.43
1158,500.0,183.11
1159,283.0,184.04
1160,212.0,183.86
1161,159.0,184.87
1162,220.0,186.14
1163,389.0,186.30
1164,112.0,183.76
1165,141.0,183.10
1166,141.0,182.98
1167,360.0,185.13
1168,270.0,185.73
1169,446.0,188.81
1170,105.0,187.93
1171,99.0,187.23
1172,91.0,186.51
1173,181.0,186.22
1174,246.0,187.37
1175,131.0,187.49
1176,114.0,187.57
1177,115.0,187.32
1178,125.0,186.92
1179,81.0,185.89
1180,103.0,185.81
1181,175.0,185.79
1182,166.0,185.92
1183,103.0,185.18
1184,119.0,184.76
1185,500.0,187.44
1186,500.0,190.36
1187,77.0,189.77
1188,196.0,190.18
1189,273.0,191.98
1190,87.0,191.28
1191,67.0,191.17
1192,80.0,191.16
1193,208.0,192.05
1194,209.0,192.75
1195,194.0,193.13
1196,206.0,193.89
1197,74.0,193.40
1198,185.0,194.06
1199,207.0,195.20
1200,93.0,195.00
1201,224.0,196.04
1202,273.0,197.51
1203,103.0,198.13
1204,145.0,198.64
1205,170.0,199.69
1206,75.0,199.31
1207,258.0,200.46
1208,161.0,201.21
1209,138.0,200.84
1210,100.0,200.59
1211,77.0,196.95
1212,246.0,196.53
1213,73.0,196.19
1214,113.0,196.47
1215,149.0,197.01
1216,365.0,200.02
1217,74.0,198.85
1218,73.0,199.00
1219,317.0,200.96
1220,137.0,200.53
1221,89.0,200.73
1222,80.0,200.48
1223,70.0,198.70
1224,128.0,199.18
1225,65.0,197.09
1226,83.0,195.98
1227,124.0,195.47
1228,57.0,192.06
1229,205.0,190.37
1230,108.0,189.52
1231,141.0,188.57
1232,385.0,190.27
1233,351.0,190.80
1234,107.0,189.13
1235,171.0,190.08
1236,86.0,187.62
1237,87.0,186.63
1238,232.0,185.98
1239,126.0,183.22
1240,82.0,181.56
1241,80.0,181.08
1242,89.0,180.16
1243,179.0,179.73
1244,76.0,179.17
1245,203.0,176.20
1246,131.0,176.48
1247,390.0,179.33
1248,121.0,179.70
1249,113.0,180.22
1250,79.0,180.20
1251,144.0,177.27
1252,60.0,175.72
1253,165.0,175.32
1254,103.0,172.63
1255,179.0,171.65
1256,225.0,170.89
1257,91.0,168.19
1258,91.0,164.10
1259,185.0,163.12
1260,121.0,162.21
1261,197.0,162.59
1262,90.0,161.29
1263,104.0,158.44
1264,73.0,158.05
1265,132.0,157.96
1266,59.0,157.14
1267,96.0,154.50
1268,213.0,153.93
1269,158.0,151.05
1270,97.0,150.97
1271,464.0,154.62
1272,105.0,154.76
1273,95.0,153.90
1274,184.0,153.28
1275,75.0,152.72
1276,190.0,153.48
1277,214.0,154.47
1278,77.0,153.99
1279,207.0,155.25
1280,103.0,155.25
1281,65.0,154.15
1282,147.0,153.96
1283,201.0,154.94
1284,87.0,154.62
1285,91.0,150.53
1286,79.0,146.32
1287,71.0,146.26
1288,177.0,146.07
1289,87.0,144.21
1290,91.0,144.25
1291,78.0,144.36
1292,137.0,144.93
1293,108.0,143.93
1294,69.0,142.53
1295,75.0,141.34
1296,155.0,140.83
1297,123.0,141.32
1298,75.0,140.22
1299,77.0,138.92
1300,233.0,140.32
1301,361.0,141.69
1302,118.0,140.14
1303,281.0,141.92
1304,345.0,143.92
1305,173.0,143.95
1306,78.0,143.98
1307,74.0,142.14
1308,206.0,142.59
1309,322.0,144.43
1310,101.0,144.44
1311,91.0,144.58
1312,228.0,144.40
1313,151.0,145.18
1314,63.0,144.68
1315,196.0,145.15
1316,238.0,143.88
1317,92.0,144.06
1318,119.0,144.52
1319,208.0,143.43
1320,149.0,143.55
1321,102.0,143.68
1322,176.0,144.64
1323,179.0,145.73
1324,167.0,146.12
1325,109.0,146.56
1326,162.0,147.35
1327,204.0,148.15
1328,140.0,148.98
1329,166.0,148.59
1330,86.0,148.37
1331,180.0,148.76
1332,173.0,146.64
1333,94.0,144.07
1334,91.0,143.91
1335,109.0,143.29
1336,305.0,145.48
1337,316.0,147.77
1338,31.0,145.76
1339,319.0,147.69
1340,336.0,150.23
1341,165.0,151.08
1342,247.0,152.66
1343,345.0,154.32
1344,269.0,156.25
1345,327.0,157.49
1346,288.0,159.06
1347,203.0,157.19
1348,307.0,159.05
1349,96.0,158.88
1350,251.0,160.60
1351,250.0,161.66
1352,423.0,165.29
1353,421.0,167.85
1354,225.0,169.07
1355,210.0,169.38
1356,209.0,169.22
