Episodio,RecompensaxTotalxEpisodio,RecompensaPromedio100Epidosios
1,19.0,0.00
2,56.0,0.00
3,17.0,0.00
4,11.0,0.00
5,15.0,0.00
6,24.0,0.00
7,30.0,0.00
8,28.0,0.00
9,16.0,0.00
10,39.0,0.00
11,31.0,0.00
12,10.0,0.00
13,17.0,0.00
14,12.0,0.00
15,21.0,0.00
16,11.0,0.00
17,15.0,0.00
18,16.0,0.00
19,48.0,0.00
20,21.0,0.00
21,23.0,0.00
22,22.0,0.00
23,13.0,0.00
24,11.0,0.00
25,11.0,0.00
26,30.0,0.00
27,13.0,0.00
28,21.0,0.00
29,22.0,0.00
30,18.0,0.00
31,9.0,0.00
32,9.0,0.00
33,28.0,0.00
34,17.0,0.00
35,18.0,0.00
36,19.0,0.00
37,29.0,0.00
38,73.0,0.00
39,35.0,0.00
40,29.0,0.00
41,24.0,0.00
42,16.0,0.00
43,19.0,0.00
44,31.0,0.00
45,31.0,0.00
46,12.0,0.00
47,15.0,0.00
48,15.0,0.00
49,82.0,0.00
50,37.0,0.00
51,42.0,0.00
52,16.0,0.00
53,36.0,0.00
54,20.0,0.00
55,61.0,0.00
56,17.0,0.00
57,56.0,0.00
58,14.0,0.00
59,30.0,0.00
60,11.0,0.00
61,32.0,0.00
62,8.0,0.00
63,40.0,0.00
64,86.0,0.00
65,16.0,0.00
66,18.0,0.00
67,15.0,0.00
68,55.0,0.00
69,30.0,0.00
70,11.0,0.00
71,26.0,0.00
72,15.0,0.00
73,24.0,0.00
74,21.0,0.00
75,32.0,0.00
76,11.0,0.00
77,21.0,0.00
78,12.0,0.00
79,57.0,0.00
80,34.0,0.00
81,16.0,0.00
82,19.0,0.00
83,19.0,0.00
84,13.0,0.00
85,23.0,0.00
86,17.0,0.00
87,15.0,0.00
88,14.0,0.00
89,38.0,0.00
90,19.0,0.00
91,66.0,0.00
92,21.0,0.00
93,20.0,0.00
94,22.0,0.00
95,48.0,0.00
96,62.0,0.00
97,28.0,0.00
98,116.0,0.00
99,20.0,0.00
100,22.0,0.00
101,22.0,26.77
102,66.0,26.87
103,32.0,27.02
104,56.0,27.47
105,70.0,28.02
106,36.0,28.14
107,16.0,28.00
108,24.0,27.96
109,38.0,28.18
110,16.0,27.95
111,21.0,27.85
112,22.0,27.97
